"Table_Number","Year","Measure","Age","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"11A.1","2016-17","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Total revenue","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","987.4","1007.3","720.5","287.3","300.2","67.7","47.4","34.5","3452.4"
"11A.1","2016-17","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Per person in the population","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS Quarterly Population Estimates (ERP)","$","126.62","161.32","147.54","111.89","174.85","130.49","116.54","140.87","141.58"
"11A.1","2015-16","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Government grants","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","704.4","592.2","548.5","135.8","136.2","49.2","39.9","26.6","2232.7"
"11A.1","2015-16","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Transport fees","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","226.4","182.7","126.1","112.0","102.3","9.9","6.3","3.0","768.7"
"11A.1","2015-16","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Subscriptions and other income","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","8.2","87.8","16.4","30.2","39.8","2.0","0","0.8","185.2"
"11A.1","2015-16","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Total revenue","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","939.1","862.7","691.1","277.9","278.2","61.1","46.1","30.4","3186.6"
"11A.1","2015-16","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Per person in the population","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS Quarterly Population Estimates (ERP)","$","122.42","141.58","143.83","109.08","163.10","118.50","115.67","124.63","132.86"
"11A.1","2014-15","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Government grants","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","636.5","512.8","508.1","130.1","137.1","51.7","39.7","25.1","2041.2"
"11A.1","2014-15","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Transport fees","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","240.4","184.0","123.1","108.2","85.1","10.0","6.0","3.1","759.9"
"11A.1","2014-15","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Subscriptions and other income","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","26.2","88.4","10.7","32.6","33.3","0","0.9","1.3","193.3"
"11A.1","2014-15","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Total revenue","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","903.1","785.2","641.9","271.0","255.4","61.8","46.5","29.5","2994.4"
"11A.1","2014-15","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Per person in the population","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS Quarterly Population Estimates (ERP)","$","119.42","131.80","135.22","107.16","150.88","120.14","118.72","121.38","126.67"
"11A.1","2013-14","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Government grants","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","613.9","462.8","499.1","123.0","137.3","54.4","36.6","23.5","1950.8"
"11A.1","2013-14","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Transport fees","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","248.0","180.0","125.3","99.1","85.1","7.6","6.7","3.0","754.9"
"11A.1","2013-14","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Subscriptions and other income","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","9.3","77.3","11.3","41.0","35.1","2.9","0.6","1.2","178.5"
"11A.1","2013-14","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Total revenue","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","871.2","720.1","635.7","263.1","257.5","65.0","43.9","27.8","2884.2"
"11A.1","2013-14","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Per person in the population","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS Quarterly Population Estimates (ERP)","$","116.87","123.46","135.67","105.14","153.44","126.68","113.60","114.65","123.80"
"11A.1","2012-13","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Government grants","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","605.0","519.1","494.8","112.4","148.2","58.6","34.8","25.0","1997.8"
"11A.1","2012-13","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Transport fees","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","227.5","135.0","121.7","94.9","81.3","7.2","5.4","2.9","675.9"
"11A.1","2012-13","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Subscriptions and other income","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","21.9","101.5","17.4","43.9","37.6","3.2","0.5","0.6","226.5"
"11A.1","2012-13","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Total revenue","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","854.4","755.5","633.8","251.3","267.2","69.0","40.7","28.4","2900.2"
"11A.1","2012-13","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Per person in the population","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS Quarterly Population Estimates (ERP)","$","116.19","132.33","137.45","102.25","160.64","134.74","107.09","118.99","126.49"
"11A.1","2011-12","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Government grants","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","569.4","437.1","503.9","100.0","124.0","56.1","34.8","22.3","1847.5"
"11A.1","2011-12","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Transport fees","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","221.3","128.1","120.7","90.8","73.2","6.9","5.3","3.0","649.2"
"11A.1","2011-12","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Subscriptions and other income","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","13.0","119.8","18.2","44.4","35.8","2.9","0.2","1.2","235.4"
"11A.1","2011-12","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Total revenue","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","803.7","684.9","642.8","235.2","233.0","65.9","40.3","26.4","2732.1"
"11A.1","2011-12","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Per person in the population","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS Quarterly Population Estimates (ERP)","$","110.72","122.49","142.24","98.56","141.43","128.72","108.21","113.54","121.31"
"11A.1","2010-11","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Government grants","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","555.2","399.7","490.8","75.2","117.0","56.8","26.3","21.8","1742.9"
"11A.1","2010-11","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Transport fees","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","218.0","126.2","115.7","84.1","79.2","5.3","6.0","2.6","637.0"
"11A.1","2010-11","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Subscriptions and other income","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","9.7","142.4","22.6","41.5","32.6","0.8","0.2","1.2","250.8"
"11A.1","2010-11","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Total revenue","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","782.8","668.3","629.1","200.9","228.7","62.8","32.5","25.5","2630.7"
"11A.1","2010-11","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Per person in the population","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS Quarterly Population Estimates (ERP)","$","109.03","121.61","141.78","86.63","140.12","123.15","89.09","110.73","118.65"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Incidents","Emergency incidents","","","","","CAA (unpublished)","no.","425297","310087","417677","110214","150335","34596","18303","15612","1482121"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Incidents","Urgent incidents","","","","","CAA (unpublished)","no.","460577","236927","467840","70307","108668","18537","25311","18688","1406855"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Incidents","Non-emergency incidents","","","","","CAA (unpublished)","no.","74875","425276","289973","158975","47527","30814","10121","11233","1048794"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Incidents","Casualty room attendances","","","","","CAA (unpublished)","no.","..","..","246","..","..","..","..","..","246"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Incidents","Total incidents","","","","","Derived from CAA (unpublished)","no.","960749","972290","1175736","339496","306530","83947","53735","45533","3938016"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Incidents","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","118.2","146.2","229.2","128.6","174.2","156.3","125.7","186.0","154.3"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Response locations","With paid staff only","","","","","CAA (unpublished)","no.","233","177","244","31","45","14","9","8","761"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Response locations","With mixed paid and volunteer staff","","","","","CAA (unpublished)","no.","5","80","0","16","3","25","0","0","129"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Response locations","With volunteer staff only","","","","","CAA (unpublished)","no.","50","24","29","144","71","15","0","0","333"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Response locations","Total response locations","","","","","Derived from CAA (unpublished)","no.","288","281","273","191","119","54","9","8","1223"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Response locations","Per 100 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","3.5","4.2","5.3","7.2","6.8","10.1","2.1","3.3","4.8"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","First responder locations","Ambulance","","","","","CAA (unpublished)","no.","13","51","25","4963","9","5","0","0","5066"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","First responder locations","Third party","","","","","CAA (unpublished)","no.","37","72","0","0","13","0","0","0","122"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Responses","Emergency responses","","","","","CAA (unpublished)","no.","553683","468093","533462","137627","218345","46302","21852","24111","2003475"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Responses","Urgent responses","","","","","CAA (unpublished)","no.","575608","311016","513933","99550","145303","21439","29136","22009","1717994"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Responses","Non-emergency responses","","","","","CAA (unpublished)","no.","88368","504248","298970","213102","62590","33455","10547","12386","1223666"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Responses","Total responses","","","","","Derived from CAA (unpublished)","no.","1217659","1283357","1346365","450279","426238","101196","61535","58506","4945135"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Responses","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","149.8","193.0","262.4","170.6","242.3","188.4","144.0","239.0","193.8"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Patients","Transported","","","","","CAA (unpublished)","no.","745235","811935","1009869","340257","269972","44327","40412","35815","3297822"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Patients","Treated not transported","","","","","CAA (unpublished)","no.","156610","77105","140324","25371","24044","10800","9186","8234","451674"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Patients","Total patients","","","","","Derived from CAA (unpublished)","no.","901845","889040","1150193","365628","294016","55127","49598","44049","3749496"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Patients","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","110.9","133.7","224.2","138.5","167.1","102.7","116.0","180.0","146.9"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Transport","Ambulance general purpose","","","","","CAA (unpublished)","no.","1085","720","974","535","250","114","30","43","3751"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Transport","Patient transport vehicles","","","","","CAA (unpublished)","no.","21","64","95","97","22","12","6","5","322"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Transport","Operational support vehicles","","","","","CAA (unpublished)","no.","384","416","254","53","107","41","9","12","1276"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Transport","Special operations vehicles","","","","","CAA (unpublished)","no.","52","22","34","4","47","3","5","8","175"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Transport","Administrative and other vehicles","","","","","Derived from CAA (unpublished)","no.","123","156","117","116","53","6","2","5","578"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Transport","Total transport","","","","","Derived from CAA (unpublished)","no.","1665","1378","1474","805","479","176","52","73","6102"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Transport","Total road fleet","","","","","CAA (unpublished)","m km","40.0","40.6","44.6","9.5","13.4","3.9","1.1","1.5","154.7"
"11A.2","2019-20","Ambulance activity and resources","All ages","All areas","","Transport","Air ambulance aircraft","","","","","CAA (unpublished)","no.","20","11","27","0","8","4","1","0","71"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Incidents","Emergency incidents","","","","","CAA (unpublished)","no.","415932","300391","400971","110735","148070","35615","17088","14331","1443133"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Incidents","Urgent incidents","","","","","CAA (unpublished)","no.","456505","231367","446995","66998","108406","19894","23778","16784","1370727"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Incidents","Non-emergency incidents","","","","","CAA (unpublished)","no.","78248","406394","290219","158260","49108","30379","10599","12334","1035541"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Incidents","Casualty room attendances","","","","","CAA (unpublished)","no.","..","..","209","..","..","..","..","..","209"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Incidents","Total incidents","","","","","Derived from CAA (unpublished)","no.","950685","938152","1138394","335993","305584","85888","51465","43449","3849610"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Incidents","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","118.2","143.7","225.3","128.9","175.3","161.6","121.4","176.7","152.9"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Response locations","With paid staff only","","","","","CAA (unpublished)","no.","239","176","244","30","47","14","9","8","767"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Response locations","With mixed paid and volunteer staff","","","","","CAA (unpublished)","no.","5","80","0","15","3","17","0","0","120"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Response locations","With volunteer staff only","","","","","CAA (unpublished)","no.","12","22","28","144","72","19","0","0","297"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Response locations","Total response locations","","","","","Derived from CAA (unpublished)","no.","256","278","272","189","122","50","9","8","1184"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Response locations","Per 100 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","3.2","4.3","5.4","7.3","7.0","9.4","2.1","3.3","4.7"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","First responder locations","Ambulance","","","","","CAA (unpublished)","no.","8","49","24","3616","10","5","0","0","3712"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","First responder locations","Third party","","","","","CAA (unpublished)","no.","30","72","0","2308","13","4","0","0","2427"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Responses","Emergency responses","","","","","CAA (unpublished)","no.","550501","455206","511792","136943","212614","45763","19885","20916","1953620"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Responses","Urgent responses","","","","","CAA (unpublished)","no.","580396","299172","493778","94455","146873","21425","27025","20443","1683567"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Responses","Non-emergency responses","","","","","CAA (unpublished)","no.","93163","482863","299602","207023","65960","30440","11065","13913","1204029"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Responses","Total responses","","","","","Derived from CAA (unpublished)","no.","1224060","1237241","1305172","438421","425447","97628","57975","55272","4841216"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Responses","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","152.1","189.6","258.3","168.2","244.1","183.7","136.8","224.8","192.3"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Patients","Transported","","","","","CAA (unpublished)","no.","743602","776141","982240","325244","269405","57190","37930","36510","3228262"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Patients","Treated not transported","","","","","CAA (unpublished)","no.","160676","90364","130817","34039","23748","14566","7386","7330","468926"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Patients","Total patients","","","","","Derived from CAA (unpublished)","no.","904278","866505","1113057","359283","293153","71756","45316","43840","3697188"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Patients","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","112.4","132.8","220.3","137.8","168.2","135.0","106.9","178.3","146.8"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Transport","Ambulance general purpose","","","","","CAA (unpublished)","no.","969","687","964","469","254","108","30","41","3522"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Transport","Patient transport vehicles","","","","","CAA (unpublished)","no.","21","64","80","100","19","12","5","6","307"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Transport","Operational support vehicles","","","","","CAA (unpublished)","no.","370","379","251","46","101","37","8","13","1205"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Transport","Special operations vehicles","","","","","CAA (unpublished)","no.","53","22","38","4","45","3","3","8","176"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Transport","Administrative and other vehicles","","","","","Derived from CAA (unpublished)","no.","122","165","122","107","46","6","2","6","576"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Transport","Total transport","","","","","Derived from CAA (unpublished)","no.","1535","1317","1455","726","465","166","48","74","5786"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Transport","Total road fleet","","","","","CAA (unpublished)","m km","41.7","39.5","44.5","9.1","13.7","3.7","1.5","1.5","155.1"
"11A.2","2018-19","Ambulance activity and resources","All ages","All areas","","Transport","Air ambulance aircraft","","","","","CAA (unpublished)","no.","20","11","26","27","8","3","1","0","96"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Incidents","Emergency incidents","","","","","CAA (unpublished)","no.","397286","287331","378311","103096","141198","34653","16799","15499","1374173"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Incidents","Urgent incidents","","","","","CAA (unpublished)","no.","430955","230681","424815","63965","101690","18945","27317","17837","1316205"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Incidents","Non-emergency incidents","","","","","CAA (unpublished)","no.","85933","371071","278025","147204","51680","30199","9984","14920","989016"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Incidents","Casualty room attendances","","","","","CAA (unpublished)","no.","..","..","202","..","..","..","..","..","202"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Incidents","Total incidents","","","","","Derived from CAA (unpublished)","no.","914174","889083","1081353","314265","294568","83797","54100","48256","3679596"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Incidents","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","115.5","139.2","217.8","121.6","170.5","159.7","130.1","195.6","148.5"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Response locations","With paid staff only","","","","","CAA (unpublished)","no.","233","173","243","30","44","13","8","8","752"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Response locations","With mixed paid and volunteer staff","","","","","CAA (unpublished)","no.","5","74","0","15","3","17","0","0","114"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Response locations","With volunteer staff only","","","","","CAA (unpublished)","no.","12","25","28","144","74","19","0","0","302"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Response locations","Total response locations","","","","","Derived from CAA (unpublished)","no.","250","272","271","189","121","49","8","8","1168"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Response locations","Per 100 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","3.2","4.3","5.5","7.3","7.0","9.3","1.9","3.2","4.7"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","First responder locations","Ambulance","","","","","CAA (unpublished)","no.","8","52","24","2128","10","5","0","0","2227"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","First responder locations","Third party","","","","","CAA (unpublished)","no.","30","72","0","5080","13","4","0","0","5199"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Responses","Emergency responses","","","","","CAA (unpublished)","no.","521391","426971","480046","127164","197978","44895","19625","22375","1840445"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Responses","Urgent responses","","","","","CAA (unpublished)","no.","535352","294349","469024","86696","135685","20775","24875","21817","1588573"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Responses","Non-emergency responses","","","","","CAA (unpublished)","no.","101871","429753","286723","182600","69978","31461","10479","16656","1129521"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Responses","Total responses","","","","","Derived from CAA (unpublished)","no.","1158614","1151073","1235793","396460","403641","97131","54979","60848","4558539"
"11A.2","2017-18","Ambulance activity and resources","All ages","All areas","","Responses","Per 1 000 population","","","","","Derived from CAA (unpublished); ABS Quarterly Population Estimates (ERP)","rate","146.4","180.3","248.9","153.4","233.6","185.1","132.2","246.6","184.0"
